name,form,storage_location,quantity,unit,quantity_band,origin,notes
All-purpose flour,Shelf-stable,Pantry,3,lb,,sample_pantry_master,Union of 11 regional sample pantries: Appalachia & Upper South; Florida & Caribbean-influenced; Great Lakes & Midwest; Great Plains; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest; Southern California; Southwest
Apple cider vinegar,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 7 regional sample pantries: Appalachia & Upper South; Great Lakes & Midwest; Gulf Coast & Deep South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest
Apples,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 5 regional sample pantries: Appalachia & Upper South; Mid-Atlantic; Mountain West; Northeast & New England; Pacific Northwest
Asparagus,Fresh,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Pacific Northwest
Avocado,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
Bacon,Cooked,Fridge,1,package,,sample_pantry_master,Union of 1 regional sample pantries: Appalachia & Upper South
Baked beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 1 regional sample pantries: Great Plains
BBQ sauce,Shelf-stable,Pantry,1,bottle,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Beef brisket,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Southwest
Beef stew meat,Frozen Raw,Freezer,1.5,lb,,sample_pantry_master,Union of 1 regional sample pantries: Mountain West
Beets,Fresh,Fresh,2,piece,,sample_pantry_master,Union of 2 regional sample pantries: Mountain West; Northeast & New England
Biscuits,Shelf-stable,Pantry,1,package,,sample_pantry_master,Union of 3 regional sample pantries: Appalachia & Upper South; Great Plains; Gulf Coast & Deep South
Black beans,Canned,Pantry,2,can,,sample_pantry_master,Union of 3 regional sample pantries: Florida & Caribbean-influenced; Southern California; Southwest
