ingredient_name,form_name,pantry_style,notes
Chicken breast,Fresh Raw,fridge,Uncooked chicken breast held refrigerated
Chicken breast,Frozen Raw,freezer,Uncooked frozen chicken breast
Chicken breast,Cooked,fridge,Cooked chicken breast ready to reheat or use cold
White rice,Dry,pantry,Uncooked dry white rice
White rice,Cooked,fridge,Previously cooked white rice
Mushrooms,Fresh,fridge,Fresh whole or sliced mushrooms
Mushrooms,Canned,pantry,Canned mushrooms that should be drained
Mushrooms,Frozen,freezer,Frozen mushrooms
Asparagus,Fresh,fridge,Fresh asparagus spears
Asparagus,Frozen,freezer,Frozen asparagus
Asparagus,Canned,pantry,Canned asparagus that is already tender
Swiss chard,Fresh,fridge,Fresh leaves and edible stems
