ingredient_name,state_name,storage_location,needs_cooking,ready_to_eat,typical_prep_minutes,typical_cook_minutes,active_minutes,passive_minutes,attention_score,energy_level,rank_penalty,holdability,handling_note,timing_note,cooking_note,verified,notes
Ground beef,Fresh Raw,fridge,1,0,2,12,10,2,6,low,0,fair,Handle Ground beef according to its fresh raw condition.,Account for the fresh raw timing of Ground beef.,Cook or heat Ground beef safely for its current condition.,1,Core component state
Ground beef,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Ground beef according to its frozen raw condition.,Account for the frozen raw timing of Ground beef.,Cook or heat Ground beef safely for its current condition.,1,Core component state
Ground beef,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Ground beef according to its cooked condition.,Account for the cooked timing of Ground beef.,Cook or heat Ground beef safely for its current condition.,1,Core component state
Beef stew meat,Fresh Raw,fridge,1,0,2,20,10,10,6,medium,0,fair,Handle Beef stew meat according to its fresh raw condition.,Account for the fresh raw timing of Beef stew meat.,Cook or heat Beef stew meat safely for its current condition.,1,Core component state
Beef stew meat,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Beef stew meat according to its frozen raw condition.,Account for the frozen raw timing of Beef stew meat.,Cook or heat Beef stew meat safely for its current condition.,1,Core component state
Beef stew meat,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Beef stew meat according to its cooked condition.,Account for the cooked timing of Beef stew meat.,Cook or heat Beef stew meat safely for its current condition.,1,Core component state
Chuck roast,Fresh Raw,fridge,1,0,2,20,10,10,6,medium,0,fair,Handle Chuck roast according to its fresh raw condition.,Account for the fresh raw timing of Chuck roast.,Cook or heat Chuck roast safely for its current condition.,1,Core component state
Chuck roast,Frozen Raw,freezer,1,0,2,35,10,15,6,high,3,fair,Handle Chuck roast according to its frozen raw condition.,Account for the frozen raw timing of Chuck roast.,Cook or heat Chuck roast safely for its current condition.,1,Core component state
Chuck roast,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Chuck roast according to its cooked condition.,Account for the cooked timing of Chuck roast.,Cook or heat Chuck roast safely for its current condition.,1,Core component state
Sirloin steak,Fresh Raw,fridge,1,0,2,12,10,2,6,medium,0,fair,Handle Sirloin steak according to its fresh raw condition.,Account for the fresh raw timing of Sirloin steak.,Cook or heat Sirloin steak safely for its current condition.,1,Core component state
Sirloin steak,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Sirloin steak according to its frozen raw condition.,Account for the frozen raw timing of Sirloin steak.,Cook or heat Sirloin steak safely for its current condition.,1,Core component state
Sirloin steak,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Sirloin steak according to its cooked condition.,Account for the cooked timing of Sirloin steak.,Cook or heat Sirloin steak safely for its current condition.,1,Core component state
Ribeye steak,Fresh Raw,fridge,1,0,2,12,10,2,6,medium,0,fair,Handle Ribeye steak according to its fresh raw condition.,Account for the fresh raw timing of Ribeye steak.,Cook or heat Ribeye steak safely for its current condition.,1,Core component state
Ribeye steak,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Ribeye steak according to its frozen raw condition.,Account for the frozen raw timing of Ribeye steak.,Cook or heat Ribeye steak safely for its current condition.,1,Core component state
Ribeye steak,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Ribeye steak according to its cooked condition.,Account for the cooked timing of Ribeye steak.,Cook or heat Ribeye steak safely for its current condition.,1,Core component state
Flank steak,Fresh Raw,fridge,1,0,2,12,10,2,6,medium,0,fair,Handle Flank steak according to its fresh raw condition.,Account for the fresh raw timing of Flank steak.,Cook or heat Flank steak safely for its current condition.,1,Core component state
Flank steak,Frozen Raw,freezer,1,0,2,27,10,15,6,high,3,fair,Handle Flank steak according to its frozen raw condition.,Account for the frozen raw timing of Flank steak.,Cook or heat Flank steak safely for its current condition.,1,Core component state
Flank steak,Cooked,fridge,0,1,2,5,5,0,3,very low,0,good,Handle Flank steak according to its cooked condition.,Account for the cooked timing of Flank steak.,Cook or heat Flank steak safely for its current condition.,1,Core component state
