ingredient_name,role,default_state,prep_minutes,cook_minutes,active_minutes,passive_minutes,attention_score,rest_minutes,add_stage,holdability,preferred_method,desired_outcome,failure_mode,recovery_hint,teaching_note,parallel_ok,start_first,timing_note,handling_note,cooking_note,work_score,cleanup_score,mental_load_score,verified
Ground beef,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Ground beef that remains moist and properly textured.,"Ground beef can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Ground beef close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Ground beef separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Ground beef in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Beef stew meat,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Beef stew meat that remains moist and properly textured.,"Beef stew meat can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Beef stew meat close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Beef stew meat separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Beef stew meat in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Chuck roast,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Chuck roast that remains moist and properly textured.,"Chuck roast can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Chuck roast close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Chuck roast separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Chuck roast in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Sirloin steak,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Sirloin steak that remains moist and properly textured.,"Sirloin steak can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Sirloin steak close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Sirloin steak separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Sirloin steak in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Ribeye steak,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Ribeye steak that remains moist and properly textured.,"Ribeye steak can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Ribeye steak close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Ribeye steak separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Ribeye steak in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Flank steak,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Flank steak that remains moist and properly textured.,"Flank steak can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Flank steak close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Flank steak separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Flank steak in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Beef brisket,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Beef brisket that remains moist and properly textured.,"Beef brisket can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Beef brisket close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Beef brisket separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Beef brisket in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Corned beef,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Corned beef that remains moist and properly textured.,"Corned beef can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Corned beef close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Corned beef separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Corned beef in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Chicken thighs,protein,Fresh Raw,2,12,10,2,6,5,middle,fair,cook,Safely cooked Chicken thighs that remains moist and properly textured.,"Chicken thighs can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Chicken thighs close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Chicken thighs separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Chicken thighs in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
Chicken drumsticks,protein,Fresh Raw,2,20,10,10,6,5,middle,fair,cook,Safely cooked Chicken drumsticks that remains moist and properly textured.,"Chicken drumsticks can become dry, tough, or unsafe when heat and doneness are poorly controlled.",Slice or shred dry meat and serve it with sauce; continue cooking any underdone portion safely.,A thermometer is more reliable than color alone for animal proteins.,0,0,Finish Chicken drumsticks close enough to service that it stays moist; rest whole cuts before slicing.,Keep raw Chicken drumsticks separate from ready-to-eat food. Pat dry or drain as appropriate and season before cooking.,"Cook Chicken drumsticks in a skillet, pot, or oven as directed and verify safe doneness.",6,3,6,1
